mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.39348344802856444,0.11014502375089018,0.03266310691833496,0.012526955654786339,5,20,25,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 25}",0.7483597883597883,0.6959788359788359,0.7512541806020067,0.7232441471571908,0.7573160535117057,0.7352306011219054,0.02280909471960496,25
0.5589193344116211,0.09964752426317496,0.026465463638305663,0.008168009473565,5,20,50,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 50}",0.7674074074074073,0.686984126984127,0.7399665551839465,0.7274247491638797,0.7533444816053511,0.7350254640689422,0.027474832029501003,27
1.5468693256378174,0.09459219771137767,0.06037588119506836,0.02287711120570339,5,20,150,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 150}",0.7720634920634921,0.7017989417989419,0.7520903010033445,0.7376672240802675,0.7483277591973244,0.742389543628674,0.02315084262963811,8
0.06115899085998535,0.004901801819208618,0.016858482360839845,0.00483845981762082,7,4,3,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 3}",0.696190476190476,0.613968253968254,0.6993102006688963,0.6202968227424749,0.7086120401337792,0.6676755587407761,0.041518347285624375,111
0.06609845161437988,0.009357078540306998,0.025003576278686525,0.005362782728379504,7,4,5,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 5}",0.7317460317460316,0.6176719576719577,0.7194816053511706,0.5971989966555183,0.7377717391304348,0.6807740661110225,0.060517465129167176,102
0.12700347900390624,0.010451158550556124,0.016946935653686525,0.0012993389227734322,7,4,10,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 10}",0.7587301587301586,0.681058201058201,0.7240802675585284,0.7161371237458194,0.7480142140468228,0.7256039930279061,0.02711395137477447,54
0.23729124069213867,0.020168862206713156,0.02275400161743164,0.007572546589730163,7,4,25,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 25}",0.7735449735449735,0.6924867724867725,0.7205267558528429,0.739757525083612,0.7571070234113711,0.7366846100759143,0.028283314051964,22
0.42911405563354493,0.04013999918215041,0.035672760009765624,0.007676809564769701,7,4,50,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 50}",0.7826455026455027,0.6910052910052911,0.7416387959866221,0.7468645484949833,0.7537625418060201,0.7431833359876838,0.02969062983703637,6
1.490336799621582,0.2885601579149939,0.08685064315795898,0.04335272821726633,7,4,150,"{'max_depth': 7, 'max_features': 4, 'n_estimators': 150}",0.7919576719576719,0.6728042328042327,0.7378762541806019,0.7600334448160535,0.7474916387959866,0.7420326485109092,0.03913102698319349,9
0.08848304748535156,0.0649240022199063,0.03545675277709961,0.031194939394237675,7,7,3,"{'max_depth': 7, 'max_features': 7, 'n_estimators': 3}",0.6595767195767196,0.7149206349206348,0.6648202341137125,0.6288670568561872,0.7029682274247493,0.6742305745784007,0.0311212866571327,106
0.10368514060974121,0.04883144286527599,0.02153153419494629,0.013828806898575817,7,7,5,"{'max_depth': 7, 'max_features': 7, 'n_estimators': 5}",0.6782010582010582,0.6815873015873016,0.7064172240802675,0.6626254180602006,0.7465510033444815,0.695076401054662,0.029319100415828043,91
0.15609583854675294,0.0476737506471,0.05352287292480469,0.03809163360958698,7,7,10,"{'max_depth': 7, 'max_features': 7, 'n_estimators': 10}",0.7282539682539682,0.700952380952381,0.725752508361204,0.7045359531772575,0.7582566889632107,0.7235502999416042,0.02051204027859492,61
0.2939465522766113,0.023952500094912538,0.0340207576751709,0.013413912808659091,7,7,25,"{'max_depth': 7, 'max_features': 7, 'n_estimators': 25}",0.7572486772486773,0.6711111111111111,0.717391304347826,0.7192725752508361,0.7564799331103679,0.7243007202137637,0.03169613983212832,60
0.5974793434143066,0.07805976561402002,0.0464228630065918,0.012262857037285062,7,7,50,"{'max_depth': 7, 'max_features': 7, 'n_estimators': 50}",0.7652910052910052,0.6603174603174603,0.7387123745819398,0.7228260869565217,0.7690217391304348,0.7312337332554723,0.03935369747890359,40
1.5923981189727783,0.3185017530251894,0.08575277328491211,0.060206046541056366,7,7,150,"{'max_depth': 7, 'max_features': 7, 'n_estimators': 150}",0.7879365079365079,0.6804232804232805,0.7366220735785953,0.7548076923076923,0.7614966555183947,0.7442572419528942,0.035915061186936034,4
0.07749705314636231,0.009898658528297946,0.022098875045776366,0.00965697677453857,7,15,3,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 3}",0.6599999999999999,0.6221164021164021,0.7259615384615384,0.6685827759197325,0.7251254180602007,0.6803572269115747,0.040072415018755,103
0.14188065528869628,0.06740688308071816,0.01969904899597168,0.0064093268443457755,7,15,5,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 5}",0.7132275132275132,0.6758730158730158,0.7611831103678929,0.6681647157190636,0.7483277591973244,0.713355222876962,0.037303348931037046,72
0.2523159980773926,0.06361814950197575,0.02857203483581543,0.018856803181052272,7,15,10,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 10}",0.719047619047619,0.6847619047619048,0.7571070234113713,0.7113294314381271,0.7170777591973244,0.7178647475712693,0.02315376128305093,67
0.4626199722290039,0.03241291618103279,0.027237606048583985,0.010294282245142497,7,15,25,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 25}",0.7485714285714286,0.6952380952380952,0.724289297658863,0.756479933110368,0.7508361204013378,0.7350829749960185,0.02276860865290781,26
0.7394464492797852,0.09141916257953275,0.047968149185180664,0.025372057896721815,7,15,50,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 50}",0.773968253968254,0.6863492063492064,0.7355769230769231,0.7495819397993311,0.7508361204013377,0.7392624887190105,0.029183313751874215,16
1.5143900394439698,0.12761588073610625,0.09135589599609376,0.0460447961586754,7,15,150,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 150}",0.7695238095238095,0.7005291005291004,0.7462374581939799,0.759824414715719,0.7535535117056855,0.7459336589336589,0.023954860363749622,3
0.06138114929199219,0.005479913951934068,0.016082572937011718,0.005683510549048732,7,20,3,"{'max_depth': 7, 'max_features': 20, 'n_estimators': 3}",0.7632804232804233,0.6271957671957672,0.7102842809364548,0.6511287625418061,0.7053720735785954,0.6914522615066093,0.04788021006139063,93
0.10221524238586426,0.013216383083641666,0.01591038703918457,0.002500104912814642,7,20,5,"{'max_depth': 7, 'max_features': 20, 'n_estimators': 5}",0.7634920634920634,0.6557671957671958,0.7439381270903009,0.6720317725752508,0.7223035117056856,0.7115065341260993,0.04131829824834015,76
0.15273642539978027,0.009841764580778392,0.023184776306152344,0.01676191888084852,7,20,10,"{'max_depth': 7, 'max_features': 20, 'n_estimators': 10}",0.7663492063492063,0.6831746031746032,0.7371446488294314,0.6902173913043479,0.750940635451505,0.7255652970218187,0.03312932782955221,55
